GameID,Rank,PeakPlayers,AllTimePeak,Date
730,1,1334176,1818773,2024-08-12
2923300,2,384329,917272,2024-08-12
570,3,719514,1295114,2024-08-12
578080,4,677079,3257248,2024-08-12
1172470,5,260564,624473,2024-08-12
218,6,205990,221857,2024-08-12
2139460,7,167375,231668,2024-08-12
1203220,8,266466,385770,2024-08-12
271590,9,179958,364548,2024-08-12
1245620,10,133651,953426,2024-08-12
431960,11,119606,150375,2024-08-12
440,12,85151,253997,2024-08-12
1086940,13,116712,875343,2024-08-12
1938090,14,97472,491670,2024-08-12
413150,15,114970,236614,2024-08-12
252490,16,128651,245243,2024-08-12
238960,17,129772,229337,2024-08-12
251570,18,105361,125419,2024-08-12
1782210,19,59734,75967,2024-08-12
2074920,20,82544,264860,2024-08-12
359550,21,70572,201933,2024-08-12
236390,22,95926,121318,2024-08-12
436150,23,43476,47136,2024-08-12
230410,24,59951,189837,2024-08-12
1085660,25,51476,316750,2024-08-12
289070,26,68674,162657,2024-08-12
381210,27,57671,105093,2024-08-12
438100,28,45981,52956,2024-08-12
3047030,29,36712,38782,2024-08-12
553850,30,49563,458709,2024-08-12
39210,31,46337,95150,2024-08-12
2357570,32,46165,75608,2024-08-12
2195250,33,67721,107359,2024-08-12
1281930,34,45136,47602,2024-08-12
2977660,35,29366,90669,2024-08-12
550,36,33680,162399,2024-08-12
1222670,37,46564,96328,2024-08-12
2252570,38,68148,89478,2024-08-12
394360,39,54814,78108,2024-08-12
1623730,40,45436,2101867,2024-08-12
582010,41,55144,334684,2024-08-12
322330,42,50069,115925,2024-08-12
105600,43,38831,489886,2024-08-12
3016800,44,51265,51382,2024-08-12
221100,45,57469,73418,2024-08-12
1174180,46,43213,77655,2024-08-12
304930,47,29530,112703,2024-08-12
108600,48,33730,65505,2024-08-12
1366800,49,34231,35101,2024-08-12
346110,50,41148,248405,2024-08-12
1449850,51,28340,262689,2024-08-12
294100,52,30201,62257,2024-08-12
489830,53,32790,69906,2024-08-12
1091500,54,33910,1054388,2024-08-12
377160,55,33394,472962,2024-08-12
2344520,56,33717,39782,2024-08-12
1599340,57,26422,1325305,2024-08-12
2016590,58,25643,57164,2024-08-12
218620,59,21283,247709,2024-08-12
1623660,60,17802,97173,2024-08-12
4000,61,34853,73863,2024-08-12
275850,62,30151,212613,2024-08-12
252950,63,28457,147632,2024-08-12
739630,64,30111,112717,2024-08-12
2709570,65,42433,42433,2024-08-12
1238810,66,39148,116104,2024-08-12
892970,67,32735,502387,2024-08-12
480,68,46206,102705,2024-08-12
261550,69,30773,248216,2024-08-12
960090,70,21800,53943,2024-08-12
1142710,71,29802,166754,2024-08-12
1966720,72,17783,240817,2024-08-12
1364780,73,25053,70573,2024-08-12
813780,74,22590,38725,2024-08-12
250900,75,21728,70701,2024-08-12
2448970,76,23374,39325,2024-08-12
2399830,77,18864,98047,2024-08-12
646570,78,17667,33086,2024-08-12
1973530,79,15757,38950,2024-08-12
232090,80,12819,69987,2024-08-12
582660,81,17334,60395,2024-08-12
8930,82,20579,91363,2024-08-12
1158310,83,23511,98872,2024-08-12
1454400,84,14174,67867,2024-08-12
2073850,85,16937,242619,2024-08-12
548430,86,25505,54160,2024-08-12
513710,87,21305,68322,2024-08-12
311210,88,13741,63681,2024-08-12
629520,89,18826,21920,2024-08-12
281990,90,16452,68602,2024-08-12
322170,91,19230,88346,2024-08-12
2338770,92,18841,30363,2024-08-12
2349820,93,16731,37249,2024-08-12
227300,94,44551,69754,2024-08-12
427520,95,19161,34700,2024-08-12
1248130,96,42452,105636,2024-08-12
236850,97,21277,48165,2024-08-12
386360,98,12881,31169,2024-08-12
306130,99,17523,49234,2024-08-12
1920960,100,12066,85551,2024-08-12
284160,101,19494,26844,2024-08-12
292030,102,25691,103329,2024-08-12
594650,103,23824,45091,2024-08-12
1238840,104,20287,53714,2024-08-12
2709440,105,18365,20524,2024-08-12
457140,106,15916,27486,2024-08-12
291550,107,16057,34816,2024-08-12
1517290,108,17632,107376,2024-08-12
1422450,109,16947,16947,2024-08-12
1905180,110,17065,20080,2024-08-12
397540,111,12379,93820,2024-08-12
1237970,112,12477,27631,2024-08-12
393380,113,19570,35151,2024-08-12
3076520,114,8062,8563,2024-08-12
107410,115,19312,56679,2024-08-12
632360,116,10289,71548,2024-08-12
2426960,117,13879,22281,2024-08-12
216150,118,9408,13850,2024-08-12
240,119,16188,100056,2024-08-12
1151340,120,14239,73368,2024-08-12
2142790,121,11359,11359,2024-08-12
766570,122,17018,24544,2024-08-12
255710,123,14088,60386,2024-08-12
1476970,124,10076,13048,2024-08-12
2526380,125,9318,9914,2024-08-12
1818450,126,26947,38437,2024-08-12
814380,127,13002,125315,2024-08-12
1172620,128,17480,66906,2024-08-12
270880,129,10509,19153,2024-08-12
2379780,130,9096,37977,2024-08-12
1325860,131,14645,16688,2024-08-12
761890,132,13454,27227,2024-08-12
1049590,133,19659,52853,2024-08-12
1293830,134,17359,75689,2024-08-12
2670630,135,10989,51363,2024-08-12
1446780,136,13623,231360,2024-08-12
1551360,137,15508,81096,2024-08-12
1466860,138,16296,73928,2024-08-12
2291060,139,9837,18641,2024-08-12
2141910,140,9300,12058,2024-08-12
365670,141,8997,10654,2024-08-12
529340,142,12392,70100,2024-08-12
2707930,143,10383,12607,2024-08-12
526870,144,12803,34238,2024-08-12
2567870,145,15413,94480,2024-08-12
714010,146,10730,15141,2024-08-12
1778820,147,8754,49977,2024-08-12
1665460,148,11500,21316,2024-08-12
1283970,149,8979,8979,2024-08-12
1687950,150,10015,35474,2024-08-12
949230,151,11912,104697,2024-08-12
552990,152,11437,411338,2024-08-12
244210,153,14371,19661,2024-08-12
945360,154,9401,447476,2024-08-12
1716740,155,10309,330723,2024-08-12
49520,156,7938,124678,2024-08-12
1329410,157,13807,39075,2024-08-12
286160,158,8634,37198,2024-08-12
1593500,159,9729,73529,2024-08-12
10,160,14552,319586,2024-08-12
1144200,161,8644,55174,2024-08-12
1203620,162,11552,160405,2024-08-12
1812620,163,7455,8794,2024-08-12
1326470,164,11725,414257,2024-08-12
376210,165,8388,11973,2024-08-12
367520,166,7660,20324,2024-08-12
990080,167,11499,879308,2024-08-12
1267910,168,5890,11867,2024-08-12
374320,169,8116,129975,2024-08-12
700330,170,9543,13908,2024-08-12
1158160,171,7886,15418,2024-08-12
22380,172,6286,51038,2024-08-12
1904540,173,10943,83715,2024-08-12
1997040,174,7225,18967,2024-08-12
648800,175,11601,101096,2024-08-12
976730,176,5747,161024,2024-08-12
1604030,177,8627,150645,2024-08-12
233860,178,8016,10971,2024-08-12
1250410,179,9505,61829,2024-08-12
2215430,180,7978,77154,2024-08-12
686810,181,8878,18280,2024-08-12
440900,182,7966,53402,2024-08-12
431730,183,4898,5165,2024-08-12
1973710,184,5658,20201,2024-08-12
1868140,185,7835,98480,2024-08-12
304390,186,6043,225831,2024-08-12
1118200,187,7608,17015,2024-08-12
1009850,188,4653,5049,2024-08-12
2646460,189,8697,46833,2024-08-12
1794680,190,5615,77061,2024-08-12
444200,191,15064,56669,2024-08-12
2050650,192,6356,168191,2024-08-12
779340,193,7882,192298,2024-08-12
1240440,194,4386,272586,2024-08-12
1599600,195,4704,12460,2024-08-12
1361210,196,5466,108395,2024-08-12
2855560,197,8642,9508,2024-08-12
1468810,198,6716,184171,2024-08-12
2881650,199,6241,204439,2024-08-12
262060,200,5696,20064,2024-08-12
1426210,201,14867,32685,2024-08-12
1145360,202,5430,54240,2024-08-12
899770,203,6818,264708,2024-08-12
1286830,204,6170,34210,2024-08-12
444090,205,5515,60743,2024-08-12
1919590,206,6274,59006,2024-08-12
1818750,207,3977,153433,2024-08-12
933110,208,6272,20146,2024-08-12
1282100,209,5751,110856,2024-08-12
244850,210,6528,23888,2024-08-12
1147690,211,3854,8032,2024-08-12
3590,212,4533,16225,2024-08-12
2321470,213,6183,56943,2024-08-12
1432860,214,4623,12706,2024-08-12
48700,215,6167,33054,2024-08-12
977400,216,4091,7340,2024-08-12
1328670,217,5728,59817,2024-08-12
242760,218,7191,78097,2024-08-12
435150,219,6983,93701,2024-08-12
1659040,220,5713,9043,2024-08-12
1258080,221,4976,7990,2024-08-12
268500,222,5067,133022,2024-08-12
627690,223,3712,18578,2024-08-12
1063730,224,4630,913634,2024-08-12
214950,225,6710,118240,2024-08-12
812140,226,7240,62069,2024-08-12
359320,227,5723,28923,2024-08-12
264710,228,5533,51156,2024-08-12
1366540,229,5202,59815,2024-08-12
1568590,230,21028,702845,2024-08-12
1384160,231,3249,31156,2024-08-12
427410,232,3697,21753,2024-08-12
2471100,233,3423,4779,2024-08-12
1942280,234,5655,32216,2024-08-12
1260320,235,5520,104174,2024-08-12
1284210,236,5169,8324,2024-08-12
2808930,237,4468,5211,2024-08-12
1149460,238,5623,52501,2024-08-12
1062090,239,5293,12354,2024-08-12
380600,240,6311,9926,2024-08-12
962130,241,5122,32012,2024-08-12
239140,242,5706,45876,2024-08-12
1447430,243,4789,11085,2024-08-12
1343400,244,3708,12569,2024-08-12
1222680,245,4942,86196,2024-08-12
877280,246,3967,6966,2024-08-12
518790,247,5717,23612,2024-08-12
1371580,248,3603,47654,2024-08-12
2051620,249,5190,5404,2024-08-12
993090,250,3646,4052,2024-08-12
8500,251,3958,10627,2024-08-12
494840,252,6855,7201,2024-08-12
2638370,253,4419,6995,2024-08-12
601510,254,3028,21520,2024-08-12
2325290,255,4355,8806,2024-08-12
1092790,256,3162,17072,2024-08-12
386180,257,3949,12170,2024-08-12
2420110,258,5714,40462,2024-08-12
881100,259,3422,9256,2024-08-12
2161700,260,3294,45002,2024-08-12
1184370,261,4452,46724,2024-08-12
655500,262,3257,3842,2024-08-12
2427700,263,3767,36557,2024-08-12
1290000,264,3302,10512,2024-08-12
231430,265,5867,164688,2024-08-12
392160,266,4780,15198,2024-08-12
221380,267,4068,27927,2024-08-12
1909840,268,5499,6340,2024-08-12
1145350,269,3629,103567,2024-08-12
2250040,270,4291,10040,2024-08-12
570940,271,3987,24501,2024-08-12
1284190,272,4585,28416,2024-08-12
985810,273,3964,79883,2024-08-12
1304930,274,2888,36689,2024-08-12
1363080,275,5176,173178,2024-08-12
1891700,276,2816,3387,2024-08-12
1677740,277,7849,43705,2024-08-12
644930,278,4095,22395,2024-08-12
4700,279,4945,8453,2024-08-12
379430,280,5381,96069,2024-08-12
534380,281,5336,274983,2024-08-12
3056550,282,2110,9939,2024-08-12
1336980,283,2901,11783,2024-08-12
1407200,284,5822,8024,2024-08-12
703080,285,5248,38630,2024-08-12
2951630,286,4283,7980,2024-08-12
602960,287,3915,19655,2024-08-12
1201240,288,3475,8166,2024-08-12
2552430,289,2880,11152,2024-08-12
460930,290,3917,45704,2024-08-12
782330,291,3766,104891,2024-08-12
12210,292,3690,11696,2024-08-12
208650,293,3476,27406,2024-08-12
958260,294,2889,11284,2024-08-12
2524890,295,2974,25014,2024-08-12
504230,296,3072,7782,2024-08-12
568220,297,2570,7928,2024-08-12
34330,298,3686,54115,2024-08-12
671860,299,3344,87323,2024-08-12
872410,300,3648,16482,2024-08-12
282070,301,3654,9503,2024-08-12
1824220,302,2606,16959,2024-08-12
1922560,303,2582,9670,2024-08-12
2668080,304,2985,9964,2024-08-12
1169040,305,2824,3894,2024-08-12
1985810,306,2909,3693,2024-08-12
2445690,307,8882,20280,2024-08-12
1189490,308,3617,26379,2024-08-12
400750,309,4204,8831,2024-08-12
1811260,310,4812,110878,2024-08-12
356190,311,3722,68183,2024-08-12
505460,312,3140,11791,2024-08-12
1874880,313,3841,12342,2024-08-12
203770,314,3299,141439,2024-08-12
1787090,315,2648,3869,2024-08-12
2186680,316,4018,45405,2024-08-12
1465360,317,4883,11145,2024-08-12
2666510,318,2156,20876,2024-08-12
323190,319,3980,29361,2024-08-12
2894940,320,2258,2709,2024-08-12
1637320,321,2884,6883,2024-08-12
1477070,322,3628,3628,2024-08-12
335300,323,2918,12106,2024-08-12
1943950,324,5149,16529,2024-08-12
2231380,325,3645,14382,2024-08-12
1621690,326,3045,34508,2024-08-12
400040,327,3047,3533,2024-08-12
363970,328,2418,65882,2024-08-12
581320,329,3039,14606,2024-08-12
588650,330,3123,14910,2024-08-12
2849080,331,3591,21133,2024-08-12
594570,332,3452,84920,2024-08-12
447040,333,3451,18138,2024-08-12
1313140,334,2725,61780,2024-08-12
2003310,335,2440,5338,2024-08-12
2961880,336,2626,2626,2024-08-12
1128810,337,3090,11716,2024-08-12
471710,338,2689,7154,2024-08-12
835570,339,5319,19178,2024-08-12
1677280,340,4138,36646,2024-08-12
1013320,341,2501,3343,2024-08-12
961200,342,2440,7339,2024-08-12
1569040,343,3982,88767,2024-08-12
2281730,344,3034,7141,2024-08-12
1097150,345,2319,172213,2024-08-12
2208920,346,4415,15679,2024-08-12
729040,347,2949,26446,2024-08-12
220200,348,2692,19149,2024-08-12
784150,349,5964,8264,2024-08-12
1888160,350,2301,156171,2024-08-12
1875830,351,2539,21749,2024-08-12
47890,352,2347,10505,2024-08-12
1535560,353,2036,8951,2024-08-12
219990,354,3361,61458,2024-08-12
2140330,355,2006,9526,2024-08-12
632470,356,3045,8081,2024-08-12
287700,357,2506,91195,2024-08-12
728880,358,6613,12716,2024-08-12
2066020,359,3201,18854,2024-08-12
2315690,360,2183,8789,2024-08-12
916440,361,4213,25302,2024-08-12
508440,362,2290,13674,2024-08-12
1859910,363,4370,24278,2024-08-12
266840,364,2786,11074,2024-08-12
1286680,365,2568,15021,2024-08-12
2400510,366,1804,2016,2024-08-12
1068820,367,1959,2197,2024-08-12
1259420,368,3688,27450,2024-08-12
268910,369,2839,19026,2024-08-12
204360,370,2206,16013,2024-08-12
1846380,371,3481,14063,2024-08-12
1607250,372,2036,46591,2024-08-12
2642680,373,1929,2559,2024-08-12
1817070,374,2440,66436,2024-08-12
787480,375,2943,4724,2024-08-12
1056640,376,1845,59558,2024-08-12
1401590,377,3362,14314,2024-08-12
588430,378,2789,42656,2024-08-12
219740,379,2683,16796,2024-08-12
1546320,380,1548,3148,2024-08-12
412220,381,5500,5500,2024-08-12
1229490,382,2384,28076,2024-08-12
1180320,383,2118,2950,2024-08-12
305620,384,2835,14433,2024-08-12
495420,385,2866,22728,2024-08-12
2054970,386,2789,228585,2024-08-12
1971870,387,2305,38129,2024-08-12
1588010,388,1990,3824,2024-08-12
1167630,389,3327,8339,2024-08-12
10500,390,3357,27559,2024-08-12
977950,391,2164,9330,2024-08-12
635260,392,2564,5369,2024-08-12
1928420,393,2384,41396,2024-08-12
1066780,394,4273,24308,2024-08-12
1222690,395,2766,4964,2024-08-12
544810,396,1887,2972,2024-08-12
1549250,397,2165,46103,2024-08-12
767560,398,2125,2762,2024-08-12
32470,399,2426,5716,2024-08-12
2280,400,2511,2748,2024-08-12
2167580,401,1948,38641,2024-08-12
1948980,402,2974,28936,2024-08-12
786520,403,2199,3747,2024-08-12
1404210,404,2659,19921,2024-08-12
431240,405,2415,20750,2024-08-12
1669000,406,2678,42877,2024-08-12
719890,407,2043,3523,2024-08-12
736190,408,2629,32593,2024-08-12
1449690,409,2381,2451,2024-08-12
2739590,410,1964,4806,2024-08-12
1151640,411,3305,56557,2024-08-12
1774580,412,2656,67855,2024-08-12
824270,413,2117,2846,2024-08-12
493340,414,2953,21971,2024-08-12
2384620,415,1561,1751,2024-08-12
637090,416,2195,35767,2024-08-12
1506830,417,3235,108295,2024-08-12
3069470,418,1402,1423,2024-08-12
815370,419,3722,20003,2024-08-12
1173510,420,1745,2007,2024-08-12
2701510,421,1804,1804,2024-08-12
2591280,422,4811,12066,2024-08-12
1129580,423,4369,31057,2024-08-12
1482520,424,3260,3473,2024-08-12
1256670,425,1777,8015,2024-08-12
459820,426,1552,4512,2024-08-12
573090,427,2669,6820,2024-08-12
620,428,2775,98460,2024-08-12
2221490,429,2288,14858,2024-08-12
1325200,430,2811,41325,2024-08-12
8800,431,2146,2636,2024-08-12
1113000,432,1718,29984,2024-08-12
2963870,433,1732,2745,2024-08-12
379720,434,2382,44271,2024-08-12
976310,435,2575,35147,2024-08-12
2088570,436,1846,4714,2024-08-12
72850,437,2809,287411,2024-08-12
883710,438,1975,74227,2024-08-12
2690160,439,1210,1210,2024-08-12
200210,440,1807,10051,2024-08-12
601150,441,2351,88894,2024-08-12
992300,442,2856,7267,2024-08-12
1119730,443,3951,6133,2024-08-12
2289450,444,1349,2289,2024-08-12
552500,445,2971,104323,2024-08-12
233450,446,2087,16211,2024-08-12
1041320,447,1763,6224,2024-08-12
552520,448,2812,92445,2024-08-12
361420,449,2339,17986,2024-08-12
924970,450,3458,65987,2024-08-12
2484110,451,1490,4756,2024-08-12
632810,452,3218,7956,2024-08-12
1206560,453,1639,11034,2024-08-12
1527950,454,2680,35879,2024-08-12
613100,455,2444,15910,2024-08-12
2072450,456,2091,46161,2024-08-12
880940,457,3393,20957,2024-08-12
1468260,458,1409,8125,2024-08-12
325610,459,2698,26346,2024-08-12
1217060,460,2435,35263,2024-08-12
312060,461,1556,4290,2024-08-12
1797880,462,2527,7787,2024-08-12
211820,463,1623,88709,2024-08-12
389430,464,1295,24594,2024-08-12
1238860,465,2267,12425,2024-08-12
881020,466,2284,114054,2024-08-12
1084600,467,2065,21778,2024-08-12
312520,468,1611,4808,2024-08-12
47810,469,1927,8364,2024-08-12
22330,470,1979,6390,2024-08-12
1336490,471,2076,12832,2024-08-12
1139980,472,2316,4520,2024-08-12
2527870,473,1438,1562,2024-08-12
1069660,474,1670,2081,2024-08-12
365360,475,2159,8060,2024-08-12
1190000,476,2306,22561,2024-08-12
3910,477,1898,4600,2024-08-12
1295510,478,1614,4813,2024-08-12
1190970,479,2342,18170,2024-08-12
1827180,480,1570,2989,2024-08-12
466170,481,1281,2783,2024-08-12
1244460,482,2307,20784,2024-08-12
454650,483,1476,19416,2024-08-12
1840,484,1553,3975,2024-08-12
212910,485,1408,9695,2024-08-12
1343370,486,1524,6151,2024-08-12
2479810,487,2233,72548,2024-08-12
787860,488,3228,59466,2024-08-12
212680,489,1578,19301,2024-08-12
669330,490,2383,4932,2024-08-12
459160,491,1043,1043,2024-08-12
784080,492,1446,6476,2024-08-12
665300,493,1189,2158,2024-08-12
1629520,494,1507,2832,2024-08-12
1611600,495,2175,3948,2024-08-12
383120,496,1761,8829,2024-08-12
3105760,497,1017,1109,2024-08-12
311690,498,1414,15792,2024-08-12
744900,499,1694,10101,2024-08-12
2420510,500,1366,46155,2024-08-12
212500,501,2314,3965,2024-08-12
2078450,502,1751,2719,2024-08-12
582160,503,2418,41551,2024-08-12
1562430,504,1601,12686,2024-08-12
1433140,505,1236,17198,2024-08-12
346900,506,1474,22998,2024-08-12
1353300,507,1426,2050,2024-08-12
1627720,508,1754,19618,2024-08-12
9900,509,1547,7910,2024-08-12
1044720,510,1971,24910,2024-08-12
663090,511,1312,4505,2024-08-12
1196590,512,1730,106631,2024-08-12
3017120,513,1005,4358,2024-08-12
629730,514,1590,9509,2024-08-12
1812450,515,2020,15263,2024-08-12
2394010,516,1034,35380,2024-08-12
1857090,517,3369,11866,2024-08-12
1232580,518,2270,2270,2024-08-12
466560,519,2575,20235,2024-08-12
393100,520,1207,6075,2024-08-12
1995520,521,2003,11531,2024-08-12
1335200,522,1891,2894,2024-08-12
1263850,523,2278,93865,2024-08-12
1259970,524,2057,20674,2024-08-12
1625450,525,1803,16715,2024-08-12
1574360,526,1010,4880,2024-08-12
1222140,527,2203,8222,2024-08-12
599140,528,1848,16993,2024-08-12
2488620,529,3379,8216,2024-08-12
2000950,530,1743,3581,2024-08-12
2064650,531,1382,7210,2024-08-12
1147560,532,1702,18970,2024-08-12
1237950,533,1666,10489,2024-08-12
1940340,534,1426,23800,2024-08-12
678950,535,1117,44303,2024-08-12
699130,536,2331,6714,2024-08-12
838350,537,1722,72533,2024-08-12
524220,538,1491,23908,2024-08-12
1367080,539,1714,25422,2024-08-12
297000,540,2209,4656,2024-08-12
805550,541,4076,12376,2024-08-12
975370,542,1395,28340,2024-08-12
2113850,543,962,4212,2024-08-12
2396240,544,1601,1601,2024-08-12
2892880,545,847,1424,2024-08-12
1815780,546,1697,1867,2024-08-12
799960,547,1095,1164,2024-08-12
1046930,548,1598,202334,2024-08-12
851850,549,1300,25852,2024-08-12
368260,550,1288,15500,2024-08-12
1876890,551,2260,22824,2024-08-12
1172380,552,1689,46550,2024-08-12
17390,553,1528,5630,2024-08-12
1533390,554,1632,2701,2024-08-12
2962810,555,1015,1015,2024-08-12
1465460,556,1689,19380,2024-08-12
1170950,557,1418,9657,2024-08-12
1029690,558,2399,14870,2024-08-12
201810,559,1724,11986,2024-08-12
1477830,560,1603,2012,2024-08-12
2369390,561,2030,20080,2024-08-12
22370,562,1382,11471,2024-08-12
1850570,563,1572,6093,2024-08-12
228200,564,1839,5906,2024-08-12
1976440,565,1117,5199,2024-08-12
304050,566,1192,58949,2024-08-12
1100600,567,1964,189464,2024-08-12
477160,568,3152,127517,2024-08-12
848450,569,1559,42115,2024-08-12
3103840,570,1774,1774,2024-08-12
391540,571,1477,10484,2024-08-12
1809540,572,1447,6568,2024-08-12
453480,573,1135,24167,2024-08-12
329110,574,1498,3007,2024-08-12
2965660,575,956,956,2024-08-12
774801,576,1022,8564,2024-08-12
636480,577,1120,3939,2024-08-12
1462040,578,1203,13803,2024-08-12
1235140,579,1422,9535,2024-08-12
628070,580,1433,1987,2024-08-12
2972990,581,1675,1675,2024-08-12
223750,582,1494,3328,2024-08-12
516750,583,2704,5509,2024-08-12
1594320,584,1770,6135,2024-08-12
2877160,585,2016,9661,2024-08-12
70,586,1351,33471,2024-08-12
2551020,587,2567,13663,2024-08-12
335240,588,1714,5636,2024-08-12
638970,589,1087,8985,2024-08-12
1557740,590,1065,2269,2024-08-12
363890,591,986,2486,2024-08-12
493520,592,1412,18813,2024-08-12
475150,593,2413,19497,2024-08-12
905370,594,2469,15008,2024-08-12
2229850,595,1555,6617,2024-08-12
702320,596,1310,2061,2024-08-12
1714040,597,931,10760,2024-08-12
2305840,598,2175,2603,2024-08-12
205100,599,1222,19938,2024-08-12
1096900,600,854,1064,2024-08-12
1898300,601,1791,10713,2024-08-12
1274570,602,2200,7969,2024-08-12
1062520,603,1189,13412,2024-08-12
2334730,604,1252,15905,2024-08-12
244450,605,1667,9750,2024-08-12
701160,606,1563,4735,2024-08-12
704450,607,1360,2410,2024-08-12
1693980,608,1201,30925,2024-08-12
