GameID,MostPlayedRank,PeakPlayers,AllTimePeak,Date
730,1,1309558,1818773,2024-08-08
2923300,2,425963,917272,2024-08-08
570,3,659360,1295114,2024-08-08
578080,4,648220,3257248,2024-08-08
1203220,5,278824,385770,2024-08-08
1172470,6,314694,624473,2024-08-08
2139460,7,152464,231668,2024-08-08
271590,8,164656,364548,2024-08-08
218,9,189756,221857,2024-08-08
431960,10,115734,150375,2024-08-08
1245620,11,117866,953426,2024-08-08
440,12,81538,253997,2024-08-08
252490,13,121785,245243,2024-08-08
413150,14,101858,236614,2024-08-08
1938090,15,86845,491670,2024-08-08
238960,16,126790,229337,2024-08-08
2074920,17,82916,264860,2024-08-08
1782210,18,59294,75967,2024-08-08
1086940,19,86796,875343,2024-08-08
251570,20,85563,125419,2024-08-08
359550,21,63652,201933,2024-08-08
236390,22,77215,121318,2024-08-08
1085660,23,54928,316750,2024-08-08
1973530,24,37979,38950,2024-08-08
230410,25,52903,189837,2024-08-08
381210,26,57796,105093,2024-08-08
289070,27,56803,162657,2024-08-08
3047030,28,35880,36348,2024-08-08
438100,29,34616,52956,2024-08-08
436150,30,33699,47136,2024-08-08
1281930,31,43137,47602,2024-08-08
2357570,32,43557,75608,2024-08-08
553850,33,46874,458709,2024-08-08
2977660,34,26397,90669,2024-08-08
2195250,35,59537,107359,2024-08-08
322330,36,47275,115925,2024-08-08
2252570,37,62386,89478,2024-08-08
394360,38,46936,78108,2024-08-08
1623730,39,40107,2101867,2024-08-08
304930,40,30147,112703,2024-08-08
105600,41,36761,489886,2024-08-08
550,42,30097,162399,2024-08-08
1222670,43,42029,96328,2024-08-08
1174180,44,37721,77655,2024-08-08
39210,45,42049,95150,2024-08-08
582010,46,47083,334684,2024-08-08
221100,47,48684,73418,2024-08-08
346110,48,35070,248405,2024-08-08
1366800,49,35101,35101,2024-08-08
108600,50,27412,65505,2024-08-08
1599340,51,29772,1325305,2024-08-08
218620,52,21661,247709,2024-08-08
2016590,53,24773,57164,2024-08-08
294100,54,24520,62257,2024-08-08
1091500,55,26647,1054388,2024-08-08
1238810,56,34286,116104,2024-08-08
2344520,57,26274,39782,2024-08-08
1623660,58,17706,97173,2024-08-08
4000,59,33397,73863,2024-08-08
480,60,42073,102705,2024-08-08
275850,61,26165,212613,2024-08-08
377160,62,25350,472962,2024-08-08
261550,63,26671,248216,2024-08-08
489830,64,22465,69906,2024-08-08
2448970,65,23914,39325,2024-08-08
