GameID,MostPlayedRank,PeakPlayers,AllTimePeak,Date
730,1,1266979,1818773,2024-08-10
2923300,2,373223,917272,2024-08-10
570,3,661760,1295114,2024-08-10
578080,4,662696,3257248,2024-08-10
1172470,5,275804,624473,2024-08-10
218,6,187876,221857,2024-08-10
2139460,7,150646,231668,2024-08-10
1203220,8,277211,385770,2024-08-10
1245620,9,118291,953426,2024-08-10
271590,10,168995,364548,2024-08-10
440,11,87863,253997,2024-08-10
1938090,12,89563,491670,2024-08-10
252490,13,134696,245243,2024-08-10
431960,14,115705,150375,2024-08-10
1086940,15,89126,875343,2024-08-10
413150,16,100909,236614,2024-08-10
238960,17,122245,229337,2024-08-10
251570,18,88146,125419,2024-08-10
2074920,19,79037,264860,2024-08-10
359550,20,63228,201933,2024-08-10
236390,21,93118,121318,2024-08-10
1085660,22,54349,316750,2024-08-10
1782210,23,59280,75967,2024-08-10
230410,24,57470,189837,2024-08-10
553850,25,51240,458709,2024-08-10
289070,26,60186,162657,2024-08-10
438100,27,44338,52956,2024-08-10
381210,28,53898,105093,2024-08-10
2195250,29,64109,107359,2024-08-10
436150,30,40616,47136,2024-08-10
2357570,31,46130,75608,2024-08-10
39210,32,41353,95150,2024-08-10
550,33,34348,162399,2024-08-10
1281930,34,42653,47602,2024-08-10
3016800,35,29954,29954,2024-08-10
2252570,36,62086,89478,2024-08-10
1623730,37,40303,2101867,2024-08-10
394360,38,49932,78108,2024-08-10
322330,39,48643,115925,2024-08-10
582010,40,49537,334684,2024-08-10
2977660,41,27543,90669,2024-08-10
1222670,42,41851,96328,2024-08-10
105600,43,36084,489886,2024-08-10
221100,44,49334,73418,2024-08-10
1174180,45,37092,77655,2024-08-10
108600,46,28167,65505,2024-08-10
304930,47,31046,112703,2024-08-10
1449850,48,31526,262689,2024-08-10
346110,49,35430,248405,2024-08-10
1366800,50,31687,35101,2024-08-10
2344520,51,29453,39782,2024-08-10
1599340,52,28010,1325305,2024-08-10
294100,53,25723,62257,2024-08-10
3047030,54,38782,38782,2024-08-10
1091500,55,27042,1054388,2024-08-10
2016590,56,24522,57164,2024-08-10
252950,57,28906,147632,2024-08-10
275850,58,25218,212613,2024-08-10
377160,59,26108,472962,2024-08-10
489830,60,24698,69906,2024-08-10
4000,61,32782,73863,2024-08-10
1142710,62,25166,166754,2024-08-10
480,63,42017,102705,2024-08-10
1238810,64,36356,116104,2024-08-10
261550,65,26507,248216,2024-08-10
892970,66,26469,502387,2024-08-10
1966720,67,18257,240817,2024-08-10
1623660,68,17657,97173,2024-08-10
739630,69,25733,112717,2024-08-10
1973530,70,19971,38950,2024-08-10
813780,71,19708,38725,2024-08-10
960090,72,19899,53943,2024-08-10
1364780,73,25547,70573,2024-08-10
2448970,74,22685,39325,2024-08-10
250900,75,20402,70701,2024-08-10
548430,76,22959,54160,2024-08-10
646570,77,16800,33086,2024-08-10
2073850,78,15384,242619,2024-08-10
2338770,79,17580,30363,2024-08-10
8930,80,17978,91363,2024-08-10
1158310,81,20346,98872,2024-08-10
218620,82,21833,247709,2024-08-10
582660,83,16631,60395,2024-08-10
227300,84,38005,69754,2024-08-10
513710,85,19852,68322,2024-08-10
2399830,86,15645,98047,2024-08-10
232090,87,12411,69987,2024-08-10
322170,88,18444,88346,2024-08-10
629520,89,18326,21920,2024-08-10
311210,90,11906,63681,2024-08-10
1454400,91,13092,67867,2024-08-10
1248130,92,36180,105636,2024-08-10
594650,93,21046,45091,2024-08-10
281990,94,13586,68602,2024-08-10
386360,95,11808,31169,2024-08-10
240,96,15846,100056,2024-08-10
427520,97,15999,34700,2024-08-10
236850,98,18324,48165,2024-08-10
2709440,99,17528,20524,2024-08-10
2349820,100,12779,37249,2024-08-10
292030,101,20636,103329,2024-08-10
291550,102,15056,34816,2024-08-10
457140,103,13243,27486,2024-08-10
1517290,104,14900,107376,2024-08-10
284160,105,17904,26844,2024-08-10
1238840,106,19144,53714,2024-08-10
306130,107,14811,49234,2024-08-10
107410,108,17324,56679,2024-08-10
216150,109,9697,13850,2024-08-10
2709570,110,12047,12047,2024-08-10
393380,111,16368,35151,2024-08-10
1905180,112,17171,20080,2024-08-10
632360,113,9635,71548,2024-08-10
1920960,114,12036,85551,2024-08-10
1172620,115,16187,66906,2024-08-10
2567870,116,14469,94480,2024-08-10
1293830,117,17851,75689,2024-08-10
2877160,118,8792,8792,2024-08-10
766570,119,15753,24544,2024-08-10
255710,120,12447,60386,2024-08-10
1049590,121,19530,52853,2024-08-10
1151340,122,11152,73368,2024-08-10
2426960,123,13074,22281,2024-08-10
814380,124,11910,125315,2024-08-10
1551360,125,16098,81096,2024-08-10
3076520,126,8059,8563,2024-08-10
270880,127,9620,19153,2024-08-10
1466860,128,14380,73928,2024-08-10
2526380,129,9042,9914,2024-08-10
1325860,130,15710,16688,2024-08-10
1237970,131,9472,27631,2024-08-10
529340,132,10796,70100,2024-08-10
761890,133,12408,27227,2024-08-10
1818450,134,24183,38437,2024-08-10
1446780,135,11911,231360,2024-08-10
2291060,136,10039,18641,2024-08-10
1778820,137,8681,49977,2024-08-10
1329410,138,13322,39075,2024-08-10
2379780,139,7969,37977,2024-08-10
2670630,140,9618,51363,2024-08-10
945360,141,9223,447476,2024-08-10
552990,142,11042,411338,2024-08-10
1665460,143,11858,21316,2024-08-10
286160,144,8037,37198,2024-08-10
526870,145,10943,34238,2024-08-10
2142790,146,8367,8367,2024-08-10
1283970,147,8491,8588,2024-08-10
244210,148,13340,19661,2024-08-10
714010,149,10850,15141,2024-08-10
1144200,150,7677,55174,2024-08-10
949230,151,10256,104697,2024-08-10
397540,152,6681,93820,2024-08-10
2141910,153,8170,12058,2024-08-10
2707930,154,8792,12607,2024-08-10
1997040,155,9608,18967,2024-08-10
1203620,156,9478,160405,2024-08-10
10,157,14071,319586,2024-08-10
1687950,158,8769,35474,2024-08-10
1476970,159,7477,13048,2024-08-10
365670,160,9470,10654,2024-08-10
2855560,161,8550,9508,2024-08-10
1326470,162,9620,414257,2024-08-10
1812620,163,6556,8794,2024-08-10
367520,164,6954,20324,2024-08-10
1904540,165,9974,83715,2024-08-10
686810,166,7539,18280,2024-08-10
376210,167,7525,11973,2024-08-10
648800,168,10025,101096,2024-08-10
1716740,169,7480,330723,2024-08-10
374320,170,7094,129975,2024-08-10
1973710,171,7631,20201,2024-08-10
700330,172,9664,13908,2024-08-10
990080,173,8962,879308,2024-08-10
976730,174,5697,161024,2024-08-10
779340,175,7110,192298,2024-08-10
1250410,176,8239,61829,2024-08-10
1422450,177,9899,9899,2024-08-10
1604030,178,7127,150645,2024-08-10
1267910,179,5950,11867,2024-08-10
1426210,180,13237,32685,2024-08-10
49520,181,5284,124678,2024-08-10
2646460,182,7452,46833,2024-08-10
1118200,183,7414,17015,2024-08-10
1158160,184,6495,15418,2024-08-10
444200,185,15866,56669,2024-08-10
2215430,186,6341,77154,2024-08-10
233860,187,6809,10971,2024-08-10
1868140,188,6346,98480,2024-08-10
1009850,189,4518,5049,2024-08-10
440900,190,6761,53402,2024-08-10
304390,191,5631,225831,2024-08-10
2050650,192,5500,168191,2024-08-10
22380,193,5020,51038,2024-08-10
1240440,194,4643,272586,2024-08-10
899770,195,5664,264708,2024-08-10
1593500,196,4788,73529,2024-08-10
1919590,197,6036,59006,2024-08-10
1468810,198,6006,184171,2024-08-10
262060,199,5496,20064,2024-08-10
1599600,200,4288,12460,2024-08-10
1794680,201,4604,77061,2024-08-10
933110,202,5382,20146,2024-08-10
1361210,203,4661,108395,2024-08-10
431730,204,4854,5165,2024-08-10
2881650,205,4956,204439,2024-08-10
812140,206,6122,62069,2024-08-10
1145360,207,4825,54240,2024-08-10
1909840,208,5541,6340,2024-08-10
444090,209,4912,60743,2024-08-10
1282100,210,4482,110856,2024-08-10
242760,211,6226,78097,2024-08-10
435150,212,5311,93701,2024-08-10
2321470,213,5420,56943,2024-08-10
1260320,214,5542,104174,2024-08-10
1818750,215,4011,153433,2024-08-10
1432860,216,3890,12706,2024-08-10
2638370,217,5048,6995,2024-08-10
244850,218,5593,23888,2024-08-10
2445690,219,9487,20280,2024-08-10
48700,220,5641,33054,2024-08-10
1942280,221,5263,32216,2024-08-10
1286830,222,5339,34210,2024-08-10
3590,223,4415,16225,2024-08-10
1366540,224,4484,59815,2024-08-10
268500,225,4306,133022,2024-08-10
264710,226,4762,51156,2024-08-10
1568590,227,19642,702845,2024-08-10
977400,228,4309,7340,2024-08-10
214950,229,5678,118240,2024-08-10
1147690,230,3890,8032,2024-08-10
1063730,231,3945,913634,2024-08-10
2808930,232,4845,5211,2024-08-10
359320,233,4913,28923,2024-08-10
1677740,234,6893,43705,2024-08-10
1384160,235,3499,31156,2024-08-10
518790,236,5048,23612,2024-08-10
1659040,237,4965,9043,2024-08-10
627690,238,3710,18578,2024-08-10
1258080,239,4964,7990,2024-08-10
